,comment,rating
69,"Вино понравилось, достойное качество за небольшие деньги. Не кислое, не окрашивает зубы. Ароматное и приятно пьётся. Рекомендую.",5
70,Очень хорошее вино. Рекомендую.,5
71,"Вино действительно удивило, приятное с небольшой терпкостью действительно полусладкое, но без лишней сладости. В следующий раз куплю ещё.",5
72,Была приятно удивлина.Неплохое вино за смешные деньги.Любителям лёгкой терпкости рекомендую однозначно!,5
73,приятный вкус. подходит ужин,5
74,"Пробовали разные сорта полусладких вин. это вино, скорее всего, одно из лучших по соотношению цена-качество.",5
75,Всем привет! Очень понравилось вино.Приятный аромат и послевкусие.,5
76,Мне очень нравится. Цена-качество на все 100. Рекомендую.,5
77,"Очень вкусное. Не приторное и не очень терпкое. То, что надо. Прекрасное вино и по хорошей цене",5
78,Вкусное вино. Советую.,5
79,"Отличное вино за свою цену, всегда берём его когда хочется выпить вина",5
80,Отличное вино! Никакого спирта.,5
81,"Очень неплохое вино для своей цены, немного терпкое, не приторное, спиртом не отдаёт.",5
82,Идеально для глинтвейна!,5
83,"Терпкое, неплохо для своей цены. Вряд ли куплю второй раз.",3
84,Не переслащенное. Терпкое. Не горькое. Спирт не отдает. Очень понравилось!,5
85,"своих денег стоит,не водянистое,тёрпкое,не плохое.",4
86,"Решился попробовать вина данного завода, красные полусладкие, цена - качество превосходные, надеюсь не испортят.",5
87,"Пьётся легко, вкус приятный, свои деньги стоит",5
88,"Вино различается от партии к партии. Иногда прям хорошее, а иногда - пить невозможно! Поэтому, если берете несколько бутылок, старайтесь разные даты разлива выбирать)))",4
89,"за свои деньги вполне приличное вино, про похмелье сказать не могу, больше бокала не выпиваю, но, спиртовое послевкусие отсутствует, пить приятно",5
90,Ну не умеют…,1
91,"Раньше было не плохое вино, когда только появилось. Но попробовала его 5.12.2021г, очень испортилось, стало ужасное на вкус, на вино вообще не похоже и противно пить",1
92,"Отличное вино. Пьется легко. К фруктами и сыру хорошо сочетается. На следующий день самочувствие хорошее, головной боли нет, похмельного синдрома нет, рекомендую.",5
93,"запах спирта не нашел, запах винограда несильный. Вино в целом за свою цену клевое, пьется легко и без горечи. Но конечно есть и вино получше.",4
94,Покупали для банкета. Вино вкусное. Запах спирта отсутствует. Гостям понравилось. На головную боль никто не жаловался.,5
95,"Очень вкусно, запах винограда, вкусно приятно дёшево",5
96,Крутое вино! Вкусное,5
97,не пью но понравилось,5
98,Приятное вино,5
99,"Вкусное вино, сладенькое, без противного привкуса.",5
100,"Вино на свои деньги. Запах винограда присутствует, но и запах спирта тоже, поэтому однозначно больше не куплю. Пить только охлажденным и под закуску",3
101,Вино понравилось.,5
102,"первый раз пробовал это вино в мае, очень понравилось.взял в октябре и разочарование-горчит и другой вкус совершенно.",3
103,очень вкусное вино не смотря на такую дешёвую цену)),5
104,"Балдёжное вино, легкое и приятное на вкус..на утро с него не болеешь..цена тоже приятная..так что, можно смело брать",5
105,"Купил в первый раз, понравилось! Пьëтся легко и цена огонь! Вкусное.",5
106,"Легкое, и приятное на вкус. Единственное на магазине быстро закпачивается, и не всегда можно купить.",5
107,"очень крутое вино. вкус, цвет. первый раз когда попробовала, напомнило домашнее. уже всем советую только его. вообще купила в обычном магазине за 300рэ, но когда увидела в кбшке, то поняла что ну цена подарок просто за такое вино. дегустируйте с удовольствием как и я",5
108,"не саперави, это как изабелла, один раз попробовав никогда не перепутаеш.",5
109,Не очень,5
110,"Классное вино, за такие деньги",5
111,"Вино для своей цены супер, пейте только из холодильника",5
112,Для меня основной критерий- будет ли болеть голова с утра. С этого вина не болит. Честно.,5
113,Неплохое вкусное винишко! И цена прикольная!,5
114,"хорошее вино, очень приятное на вкус и качество приятно удивило за такую цену",5
115,Очень хорошее вино. мне понравилось. Ставлю 5 звёзд.,5
116,"Взяли на пробу. Больше бокала выпить не смогла. Вкус резкий, послевкусие горькое. Не советую.",3
117,"Достойное вино, очень приятное, вкусное! И цена не высокая!",5
118,"Раньше было просто отличное вино. Но что-то пошло не так. Вкус изменился. Купили 4 бутылки,одна оказалась прежнего качества (хорошего) При этом даты изготовления отличаются всего на месяц. Внешне тоже не отличить. Заметили, что хорошее вино идёт с «пробковой» пробкой. Отстойное- с пробкой нового образца. Но при покупке же не увидишь.",3
119,"Вино очень хорошее,вкусное,шикарное,нет спиртового и уксусного привкуса,мягкий приятный вкус,для тех кто любит полусладкие вина очень хорошо да и цена подходящая.Теперь импорт вообще не стоит покупать,очень дорого,качество на нуле,там закупают по 5 евро,самое дешевле пойло,у нас продают за 10 евро.",5
120,вкус домашнего молодого вина,5
121,"Увидел сплошь хорошие отзывы на такое не дорогое вино, купился и купил тоже. Ничего подобного нет из того, что указано в характеристиках вкуса. Очень-очень дешёвое вино. Больше бокала выпить, побаливает голова на утро. Похоже на домашнее вино, но только похоже. Если уж совсем нет денег, то прокатит, но не более того.",3
122,вино супер берём на праздник всегда.,5
123,"В соотношение цены и качества, вино бомба!)",5
124,"Вино ,для своей цены на высоте,,,",5
125,"Проверку на вино проходит. Минусов почти нет, а плюсов вагон одна цена чего стоит. Беру и буду брать. Советую!",5
126,"Вино приятное ,сладенькое ,и для своей ценовой позиции идельно .Буду брать ещё",5
127,"Рискнула взять попробовать. Не ошиблась и не разочаровалась. Хорошее вино, не сильно сладкое и в меру кислинькое. Очень понравилось. Голова на утро не болит, взять на вечер под мясо или фрукты - достойный вариант",5
128,Хорошее вино из всех покупных в котегории до 1000 которые я пробывала. Естественно не сравнить с доманишним. Покупайте смело,5
129,"За эти бабосики отлично , путь баллов ! Дайте постоять после открытия !!! Вино должно подышать ... спасибо вкусное винишко",5
130,"Приятное вино,хотя и чуть сладковатое. Довольно неплохое для своей цены.Не хуже,чем многие импортные из КБ в линейке 300 руб.",3.5
131,"Отличное вино,за такую цену (1,9€), рубиновый цвет,мягкий вкус с нотками граната, единственное сахара не дотягивает до полусладкого",5
132,"Будто Разбавленное, прозрачное, резковато на вкус.",3
133,Очень плохонькое. Сразу в нос бъет серой.,1.5
134,очень вкусненькое вино,5
135,Отличное вино!!!,5
136,Моё любимое!,5
137,"Обычно покупал недорогие грузинские и армянские вина, думал что российские не очень. За 178р это отличное вино.",5
138,"Вино - суппер. Берём с супрогой не одну бутылочку. Из вин этого ценогого сегмента это пока лучшее. Есть такое же, но сухое, тоже стоит брать. Сухое сильнее хмелит, а это самый раз на вечерок!",5
139,хорошее молодое винцо.стоимость сначала смутила.отличный товар!рекомендую!,5
140,Покупаю его постоянно. Очень нравиться. Но бывает что вкус из разных партий разный.,4
141,"Последние две бутылки были ужасного качества, а до этого неплохое вино для такой цены.",3
142,"За такую цену отличное вино, пробовал дорогие вина, не которые даже хуже",5
143,Качество прыгает от партии к партии.,4
144,Для глинтвейна самое то.,5
145,"Этот напиток - рядом с вином и близко не стоял... Не ставлю 1 только по тому, что бывает и намного хуже.",2
146,Хорошее вино. Напомнило киш-миш.,5
147,"Это не вино,бормотуха,под видом вина.",5
148,Очень вкусное вино,5
149,"Отличное вино с терпким вкусом,ароматное я восторге",5
150,"вино вкуснейшее, с трёх, четырех ни где даже не отдаётся на следующий день.те кто говорит что это не хорошее вино , не понимаю в этом ничего, но если перебрать его - то конечно будет очень фигово.",5
151,Это не вино.,0.5
152,"Самое то. У нас в ближайшем магазине всё раскупили. Моей жене ПОНРАВИЛОСЬ, лично я купил ещё одну про запас, а так в других мало осталось",5
153,Хорошее винцо. Приятно пъется. Не приторное.,5
154,"Это не вино, а винный напиток. Ощущается большое количество ароматизатора, который в составе не значится. В общем, бяка - не берите.",1
